Source,Destination,Protocol,Length,Tcp_Flags,Label
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
192.168.29.109,255.255.255.255,17,305,,Normal
